"","continent","life_expectancy","fertility","infant_mr"
"56","Oceania",64.2,3.09,20.8
"57","Europe",77.8,1.73,3.5
"58","Europe",79.1,1.82,4.4
"59","Oceania",72.31,2.46,NA
"60","Africa",59.3,4.6,55.6
"61","Africa",63.6,5.92,63.3
"62","Asia",71.4,1.61,31.2
"63","Europe",78.1,1.35,4.4
"64","Africa",60,4.67,64.9
"65","Europe",78.6,1.27,6.9
"66","Americas",67.8,2.33,NA
"67","Americas",70.5,2.58,13.6
"68","Americas",68.8,4.8,39.9
"69","Africa",54.2,5.94,103.1
"70","Africa",52.8,5.85,106.9
"71","Americas",64.2,2.59,37.2
"72","Americas",58.7,4.3,75
"73","Americas",70.5,4,30.5
"74","Asia",80.36,0.88,NA
"75","Europe",71.8,1.31,9.7
"76","Europe",80.5,2.01,3.1
"77","Asia",61.5,3.15,66.4
"78","Asia",67.5,2.48,41.1
"79","Asia",71.4,2.19,28.6
"80","Asia",65.8,4.97,35.8
"81","Europe",77.8,1.95,5.9
"82","Asia",78.6,2.92,5.6
"83","Europe",79.6,1.22,4.7
"84","Americas",74.4,2.6,18.7
"85","Asia",81,1.32,3.3
"86","Asia",73.4,4.05,23.2
"87","Asia",64.9,1.92,37.5
"88","Africa",55.6,5.01,66.5
"89","Oceania",59.8,3.88,53.2
"90","Asia",76.3,1.35,5.2
"91","Asia",77.7,2.87,10.9
"92","Asia",65.9,2.67,41.6
"93","Asia",56.1,4.19,83.2
"94","Europe",70.5,1.18,14.5
"95","Asia",75.9,2.23,17.1
"96","Africa",50.7,4.09,84.1
"97","Africa",55.8,5.88,123
"98","Africa",74.8,3.05,24.2
"99","Europe",72.1,1.34,9.6
"100","Europe",78.5,1.7,3.9
"101","Asia",77.63,0.94,NA
"102","Europe",72.9,1.68,14.2
"103","Africa",59.1,5.55,69.7
"104","Africa",45.4,6.25,103.5
"105","Asia",73.3,2.83,8.7
"106","Asia",73,3.27,35.6
"107","Africa",53.5,6.84,116
"108","Europe",79.2,1.59,6.8
"109","Africa",63.8,5.38,76.2
"110","Africa",71.4,1.99,16.4
"111","Americas",74.6,2.66,21.6
"112","Oceania",66.6,4.3,42.2
"113","Europe",68.6,1.57,26
"114","Asia",62.5,2.14,48.2
"115","Europe",73.3,1.82,12.5
"116","Africa",71.5,2.7,42.2
"117","Africa",52.3,5.78,115
"118","Africa",54,4.03,49.4
"119","Asia",65.2,4.07,59.6
"120","Europe",78.1,1.72,5.1
"121","Oceania",73.46,2.39,NA
"122","Oceania",78.4,1.98,6.1
"123","Americas",76,3.25,32.6
"124","Africa",52.4,7.73,101.1
"125","Africa",55.2,6.1,112
"126","Europe",78.6,1.85,4
"127","Asia",75.2,3.72,14.3
"128","Asia",62.3,4.47,87.7
"129","Americas",76.5,2.82,21.9
"130","Oceania",57.5,4.51,58.3
"131","Americas",74.2,3.68,27.7
"132","Americas",74.6,2.93,29.6
"133","Asia",69.1,3.81,29.9
"134","Europe",73.8,1.34,8.1
"135","Europe",76.8,1.47,5.5
"136","Americas",75.6,1.9,NA
"137","Asia",74.7,3.24,10.6
"138","Europe",71.1,1.27,23.2
"139","Europe",65.1,1.2,19.7
"140","Africa",49.2,5.9,109.2
"141","Americas",72,2.31,15.2
"142","Americas",69.1,2.38,19.2
"143","Oceania",70.8,4.5,18.5
"144","Asia",76.8,3.99,19.4
"145","Africa",59.7,5.56,68.5
"146","Europe",72.1,1.64,10.9
"147","Africa",70.9,2.15,12.3
"148","Africa",51.5,5.92,143.3
"149","Asia",78.3,1.6,3.1
"150","Europe",73.3,1.27,10.2
"151","Europe",76.1,1.21,4.5
"152","Oceania",61.7,4.72,27.4
"153","Africa",56.4,2.87,54
"154","Europe",79.2,1.22,5.4
"155","Asia",72.4,2.24,14
"156","Africa",62.4,5.44,67.8
"157","Americas",69.7,2.74,30.2
"158","Africa",48.8,4.21,84
"159","Europe",79.7,1.56,3.4
"160","Europe",79.8,1.44,4.6
"161","Asia",74.4,3.96,19.8
"162","Asia",65.8,3.95,74.3
"163","Africa",54.3,5.69,80.3
"164","Asia",70.7,1.68,19.1
"165","Asia",60.7,7.11,86.3
"166","Africa",56.7,5.29,76.2
"167","Oceania",69.6,4.25,15.1
"168","Americas",69.5,1.75,25.3
"169","Africa",75,2.11,26.3
"170","Asia",73.8,2.45,32.1
"171","Asia",63.7,2.84,66.1
"172","Africa",49.1,6.87,90
"173","Europe",67.3,1.14,15.8
"174","Asia",73.3,2.64,9.6
"175","Europe",77.8,1.68,5.6
"176","Americas",76.9,2.05,7.1
"177","Americas",74.6,2.24,14.6
"178","Asia",67.6,2.74,52.7
"179","Oceania",62.5,4.37,23.8
"180","Americas",73.8,2.82,18.5
"181","Asia",74.4,5.4,24.9
"182","Asia",72,1.98,26.1
"183","Asia",62.4,6.36,69
"184","Africa",44.8,6.07,97.6
"185","Africa",47.9,4.07,63.5
